,영화제목,개봉일,장르,누적관객수
92,베놈 (Venom),2018-10-03,액션,3888096
93,아쿠아맨 (AQUAMAN),2018-12-19,액션,5038154
94,내안의 그놈 (The Dude in Me),2019-01-09,판타지,1917999
95,완득이 (Punch),2011-10-20,드라마,5311353
96,은밀하게 위대하게 (Secretly Greatly),2013-06-05,액션,6959083
97,미션 임파서블: 폴아웃 (Mission:Impossible- Fallout),2018-07-25,액션,6584915
98,인사이드 아웃 (Inside Out),2015-07-09,애니메이션,4969735
99,탐정: 리턴즈 (The Accidental Detective 2: In Action),2018-06-13,코미디,3152895
100,공작 (The Spy Gone North),2018-08-08,드라마,4975517
101,나우 유 씨 미 : 마술사기단 (Now You See Me ),2013-08-22,범죄,2718237
102,슈퍼배드 2 (Despicable Me 2),2013-09-12,애니메이션,963763
103,감시자들 (Cold Eyes),2013-07-03,범죄,5509019
104,숨바꼭질 (Hide and Seek),2013-08-14,스릴러,5604106
105,인턴 (The Intern),2015-09-24,코미디,3611166
106,설국열차 (Snowpiercer),2013-08-01,SF,9352448
107,뺑반 (Hit-and-Run Squad),2019-01-30,범죄,1826912
108,히말라야 (The Himalayas),2015-12-16,드라마,7759761
109,스파이 (Spy),2015-05-21,액션,2318748
110,늑대소년 (A Werewolf Boy),2012-10-31,멜로/로맨스,6655068
111,챔피언 (Champion),2018-05-01,드라마,1128774
112,월드 워 Z (World War Z ),2013-06-20,드라마,5237525
113,가디언즈 오브 갤럭시 VOL. 2 (Guardians of the Galaxy VOL. 2),2017-05-03,액션,2736060
114,용의자 (The Suspect),2013-12-24,액션,4131338
115,전설의 주먹 (Fists of Legend),2013-04-10,드라마,1744585
116,오블리비언 (Oblivion),2013-04-11,액션,1515356
117,끝까지 간다 (A Hard Day),2014-05-29,액션,3450305
118,캡틴 아메리카: 시빌 워 (Captain America: Civil War),2016-04-27,액션,8678117
119,어바웃 타임 (ABOUT TIME),2013-12-05,멜로/로맨스,3407564
120,미션 임파서블: 로그네이션 (Mission: Impossible - Rogue Nation),2015-07-30,액션,6126488
121,분노의 질주: 더 세븐 (Fast &amp; Furious 7),2015-04-01,액션,3248904
122,신비한 동물사전 (Fantastic Beasts and Where to Find Them),2016-11-16,어드벤처,4667179
123,마약왕 (The Drug King),2018-12-19,범죄,1864076
124,인터스텔라 (Interstellar),2014-11-06,SF,10309432
125,남한산성 (The Fortress),2017-10-03,사극,3849129
126,롱 리브 더 킹: 목포 영웅 (Long Live the King),2019-06-19,액션,1094404
127,가디언즈 오브 갤럭시 (Guardians of the Galaxy),2014-07-31,액션,1344599
128,돈의 맛 (The Taste of Money),2012-05-17,드라마,1166025
129,브레이킹 던 part1 (The Twilight Saga: Breaking Dawn - Part 1),2011-11-30,드라마,1462561
130,판도라 (Pandora),2016-12-07,드라마,4585116
131,연가시 (Deranged),2012-07-05,공포(호러),4516063
132,형 (MY ANNOYING BROTHER),2016-11-23,코미디,2982514
133,동네사람들 (Ordinary People),2018-11-07,액션,461693
134,데드풀 2 (DEADPOOL 2),2018-05-16,액션,3784602
135,보안관 (The Sheriff In Town),2017-05-03,범죄,2588628
136,기술자들 (The Con Artists),2014-12-24,범죄,2564340
137,쥬만지: 새로운 세계 (Jumanji: Welcome to the Jungle),2018-01-03,액션,1711246
138,해리포터와 마법사의 돌 (Harry Potter And The Socrerers Stone),2001-12-13,가족,267950
139,빅 히어로 (Big Hero 6),2015-01-21,애니메이션,2801949
140,감기 (Flu),2013-08-14,드라마,3117859
141,돈 (Money),2019-03-20,범죄,3389125
142,분노의 질주: 더 익스트림 (Fast and Furious 8),2017-04-12,액션,3653238
143,쿵푸팬더3 (Kung Fu Panda 3),2016-01-28,애니메이션,3984814
144,걸캅스 (Miss &amp; Mrs. Cops),2019-05-09,코미디,1629528
145,메이즈 러너: 스코치 트라이얼 (Maze Runner: The Scorch Trials),2015-09-16,액션,2744413
146,터미네이터 제니시스 (Terminator Genisys),2015-07-02,액션,3240370
147,"더 테러 라이브 (The Terror, LIVE)",2013-07-31,범죄,5584295
148,인천상륙작전 (Operation Chromite ),2016-07-27,전쟁,7051237
149,"뽀로로 극장판 공룡섬 대모험 (Pororo, Dinosaur Island Adventure)",2017-12-07,애니메이션,827338
